elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,20_1_62.88,20_1_62.88,20_1_62.88,20_1_62.88,20_1_62.88,20_1_62.88,20_1_62.88,20_1_62.88,20_1_62.88,20_1_62.88,20_1_62.88,20_1_62.88,20_1_62.88,20_1_62.88,20_1_62.88,20_1_62.88
1,1,Conifer Close,0,378,All,10_1_44.2,10_1_44.2,10_1_44.2,10_1_44.2,10_1_44.2,10_1_44.2,10_1_44.2,10_1_44.2,10_1_44.2,10_1_44.2,10_1_44.2,10_1_44.2,10_1_44.2,10_1_44.2,10_1_44.2,10_1_44.2
2,2,Fladgate Drive,0,565,All,21_1_50.78,21_1_50.78,21_1_50.78,21_1_50.78,21_1_50.78,21_1_50.78,21_1_50.78,21_1_50.78,21_1_50.78,21_1_50.78,21_1_50.78,21_1_50.78,21_1_50.78,21_1_50.78,21_1_50.78,21_1_50.78
3,4,Highfield Drive,0,71,All,16_1_57.73,16_1_57.73,16_1_57.73,16_1_57.73,16_1_57.73,16_1_57.73,16_1_57.73,16_1_57.73,16_1_57.73,16_1_57.73,16_1_57.73,16_1_57.73,16_1_57.73,16_1_57.73,16_1_57.73,16_1_57.73
4,3,Matai Way,0,557,All,19_1_53.37,19_1_53.37,19_1_53.37,19_1_53.37,19_1_53.37,19_1_53.37,19_1_53.37,19_1_53.37,19_1_53.37,19_1_53.37,19_1_53.37,19_1_53.37,19_1_53.37,19_1_53.37,19_1_53.37,19_1_53.37
5,5,Vintry Drive,0,362,All,15_1_45.84,15_1_45.84,15_1_45.84,15_1_45.84,15_1_45.84,15_1_45.84,15_1_45.84,15_1_45.84,15_1_45.84,15_1_45.84,15_1_45.84,15_1_45.84,15_1_45.84,15_1_45.84,15_1_45.84,15_1_45.84
6,6,Croatia Avenue,0,42,All,9_1_60.81,9_1_60.81,9_1_60.81,9_1_60.81,9_1_60.81,9_1_60.81,9_1_60.81,9_1_60.81,9_1_60.81,9_1_60.81,9_1_60.81,9_1_60.81,9_1_60.81,9_1_60.81,9_1_60.81,9_1_60.81
7,6,Croatia Avenue,42,76,All,39_1_60.81,39_1_60.81,39_1_60.81,39_1_60.81,39_1_60.81,39_1_60.81,39_1_60.81,39_1_60.81,39_1_60.81,39_1_60.81,39_1_60.81,39_1_60.81,39_1_60.81,39_1_60.81,39_1_60.81,39_1_60.81
8,7,Lumbarda Drive,0,152,All,10.82_1_64.93,10.82_1_64.93,10.82_1_64.93,10.82_1_64.93,10.82_1_64.93,10.82_1_64.93,10.82_1_64.93,10.82_1_64.93,10.82_1_64.93,10.82_1_64.93,10.82_1_64.93,10.82_1_64.93,10.82_1_64.93,10.82_1_64.93,10.82_1_64.93,10.82_1_64.93
9,8,Tarras Road,0,86,All,8_1_59.47,8_1_59.47,8_1_59.47,8_1_59.47,8_1_59.47,8_1_59.47,8_1_59.47,8_1_59.47,8_1_59.47,8_1_59.47,8_1_59.47,8_1_59.47,8_1_59.47,8_1_59.47,8_1_59.47,8_1_59.47
10,8,Tarras Road,86,120,All,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47
11,9,Kowhai Glen,0,305,All,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01
12,1037,Epiha Road Upper,0,415,All,10_1_47.2,10_1_47.2,10_1_47.2,10_1_47.2,10_1_47.2,10_1_47.2,10_1_47.2,10_1_47.2,10_1_47.2,10_1_47.2,10_1_47.2,10_1_47.2,10_1_47.2,10_1_47.2,10_1_47.2,10_1_47.2
13,1038,Gossey Drive North,1319,1723,All,10_1_47.03,10_1_47.03,10_1_47.03,10_1_47.03,10_1_47.03,10_1_47.03,10_1_47.03,10_1_47.03,10_1_47.03,10_1_47.03,10_1_47.03,10_1_47.03,10_1_47.03,10_1_47.03,10_1_47.03,10_1_47.03
14,10,Upper Ahu Ahu Road,0,46,All,17_1_57.2,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5
15,10,Upper Ahu Ahu Road,46,68,All,12_1_58.05,12_1_58.05,12_1_58.05,12_1_58.05,12_1_58.05,12_1_58.05,12_1_58.05,12_1_58.05,12_1_58.05,12_1_58.05,12_1_58.05,12_1_58.05,12_1_58.05,12_1_58.05,12_1_58.05,12_1_58.05
16,11,Lower Ahu Ahu Road,0,158,All,8_1_52.53,8_1_52.53,8_1_52.53,8_1_52.53,8_1_52.53,8_1_52.53,8_1_52.53,8_1_52.53,8_1_52.53,8_1_52.53,8_1_52.53,8_1_52.53,8_1_52.53,8_1_52.53,8_1_52.53,8_1_52.53
17,11,Lower Ahu Ahu Road,158,179,All,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94
18,12,Kriletich Drive,0,263,All,20.04_0.5_150.04,20.04_0.5_150.04,20.04_0.5_150.04,20.04_0.5_150.04,20.04_0.5_150.04,20.04_0.5_150.04,20.04_0.5_150.04,20.04_0.5_150.04,20.04_0.5_150.04,20.04_0.5_150.04,20.04_0.5_150.04,20.04_0.5_150.04,20.04_0.5_150.04,20.04_0.5_150.04,20.04_0.5_150.04,20.04_0.5_150.04
19,917,Port Street East,0,21,All,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77
20,917,Port Street East,21,396,All,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77
21,917,Port Street East,396,874,All,19_1_83.33,19_1_83.33,19_1_83.33,19_1_83.33,19_1_83.33,19_1_83.33,19_1_83.33,19_1_83.33,19_1_83.33,19_1_83.33,19_1_83.33,19_1_83.33,19_1_83.33,19_1_83.33,19_1_83.33,19_1_83.33
22,917,Port Street East,874,1340,All,19_1_82.97,19_1_82.97,19_1_82.97,19_1_82.97,19_1_82.97,19_1_82.97,19_1_82.97,19_1_82.97,19_1_82.97,19_1_82.97,19_1_82.97,19_1_82.97,19_1_82.97,19_1_82.97,19_1_82.97,19_1_82.97
23,917,Port Street East,1340,1431,All,19_1_84.94,19_1_84.94,19_1_84.94,19_1_84.94,19_1_84.94,19_1_84.94,19_1_84.94,19_1_84.94,19_1_84.94,19_1_84.94,19_1_84.94,19_1_84.94,19_1_84.94,19_1_84.94,19_1_84.94,19_1_84.94
24,917,Port Street East,1431,2115,All,16_1_88.73,16_1_88.73,16_1_88.73,16_1_88.73,16_1_88.73,16_1_88.73,16_1_88.73,16_1_88.73,16_1_88.73,16_1_88.73,16_1_88.73,16_1_88.73,16_1_88.73,16_1_88.73,16_1_88.73,16_1_88.73
25,917,Port Street East,2120,2350,All,16_1_88.84,16_1_88.84,16_1_88.84,16_1_88.84,16_1_88.84,16_1_88.84,16_1_88.84,16_1_88.84,16_1_88.84,16_1_88.84,16_1_88.84,16_1_88.84,16_1_88.84,16_1_88.84,16_1_88.84,16_1_88.84
26,13,Puriri Dale Way,0,293,All,18_1_39.45,18_1_39.45,18_1_39.45,18_1_39.45,18_1_39.45,18_1_39.45,18_1_39.45,18_1_39.45,18_1_39.45,18_1_39.45,18_1_39.45,18_1_39.45,18_1_39.45,18_1_39.45,18_1_39.45,18_1_39.45
27,15,Fendall Close,0,438,All,11_1_41.91,11_1_41.91,11_1_41.91,11_1_41.91,11_1_41.91,11_1_41.91,11_1_41.91,11_1_41.91,11_1_41.91,11_1_41.91,11_1_41.91,11_1_41.91,11_1_41.91,11_1_41.91,11_1_41.91,11_1_41.91
28,15,Fendall Close,438,585,All,7_1_74.5,7_1_74.5,7_1_74.5,7_1_74.5,7_1_74.5,7_1_74.5,7_1_74.5,7_1_74.5,7_1_74.5,7_1_74.5,7_1_74.5,7_1_74.5,7_1_74.5,7_1_74.5,7_1_74.5,7_1_74.5
29,15,Fendall Close,585,643,All,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61
30,15,Fendall Close,643,736,All,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66
31,15,Fendall Close,736,814,All,20_0.5_106.12,20_0.5_106.12,20_0.5_106.12,20_0.5_106.12,20_0.5_106.12,20_0.5_106.12,20_0.5_106.12,20_0.5_106.12,20_0.5_106.12,20_0.5_106.12,20_0.5_106.12,20_0.5_106.12,20_0.5_106.12,20_0.5_106.12,20_0.5_106.12,20_0.5_106.12
32,9339,Weston Way,814,886,All,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84
33,9339,Weston Way,886,939,All,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5
34,9339,Weston Way,965,1051,All,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5
35,9339,Weston Way,1051,1219,All,16_1_31.5,16_1_31.5,16_1_31.5,16_1_31.5,16_1_31.5,16_1_31.5,16_1_31.5,16_1_31.5,16_1_31.5,16_1_31.5,16_1_31.5,16_1_31.5,16_1_31.5,16_1_31.5,16_1_31.5,16_1_31.5
36,9339,Weston Way,1237,1589,All,16_1_29.85,16_1_29.85,16_1_29.85,16_1_29.85,16_1_29.85,16_1_29.85,16_1_29.85,16_1_29.85,16_1_29.85,16_1_29.85,16_1_29.85,16_1_29.85,16_1_29.85,16_1_29.85,16_1_29.85,16_1_29.85
37,9339,Weston Way,1589,1999,All,16_1_29.84,16_1_29.84,16_1_29.84,16_1_29.84,16_1_29.84,16_1_29.84,16_1_29.84,16_1_29.84,16_1_29.84,16_1_29.84,16_1_29.84,16_1_29.84,16_1_29.84,16_1_29.84,16_1_29.84,16_1_29.84
38,9339,Weston Way,1999,2369,All,16_1_41.35,16_1_41.35,16_1_41.35,16_1_41.35,16_1_41.35,16_1_41.35,16_1_41.35,16_1_41.35,16_1_41.35,16_1_41.35,16_1_41.35,16_1_41.35,16_1_41.35,16_1_41.35,16_1_41.35,16_1_41.35
39,9339,Weston Way,2385,2696,All,15.01_1_40.43,15.01_1_40.43,15.01_1_40.43,15.01_1_40.43,15.01_1_40.43,15.01_1_40.43,15.01_1_40.43,15.01_1_40.43,15.01_1_40.43,15.01_1_40.43,15.01_1_40.43,15.01_1_40.43,15.01_1_40.43,15.01_1_40.43,15.01_1_40.43,15.01_1_40.43
40,9339,Weston Way,2696,3114,All,20.01_0.5_150.03,20.01_0.5_150.03,20.01_0.5_150.03,20.01_0.5_150.03,20.01_0.5_150.03,20.01_0.5_150.03,20.01_0.5_150.03,20.01_0.5_150.03,20.01_0.5_150.03,20.01_0.5_150.03,20.01_0.5_150.03,20.01_0.5_150.03,20.01_0.5_150.03,20.01_0.5_150.03,20.01_0.5_150.03,20.01_0.5_150.03
