elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,15.69,17.64,19.72,21.8,23.91,26.22,29.04,32.58,36.55,40.2,42.83,44.36,45.14,45.49,45.65,45.75
1,1,Conifer Close,0,378,All,13.56,14.71,16.05,17.85,20.52,24.41,29.58,35.49,40.96,44.87,47.29,48.79,49.81,50.55,51.15,51.67
2,2,Fladgate Drive,0,565,All,20.69,22.13,23.37,24.53,25.85,27.63,30.25,33.87,38.06,41.76,44.06,45.13,45.58,45.76,45.86,45.95
3,4,Highfield Drive,0,71,All,15.37,17.4,19.62,21.99,24.64,27.84,31.84,36.27,40.12,42.66,43.96,44.51,44.74,44.84,44.9,44.95
4,3,Matai Way,0,557,All,17.44,19.46,21.44,23.41,25.53,28.14,31.54,35.61,39.58,42.57,44.26,45.02,45.34,45.49,45.58,45.65
5,5,Vintry Drive,0,362,All,15.78,18.24,20.99,24.3,28.21,32.77,37.59,41.76,44.69,46.31,47.1,47.53,47.82,48.07,48.3,48.53
6,6,Croatia Avenue,0,42,All,10.32,10.54,11.14,12.34,13.7,15.73,18.7,22.79,27.81,33.11,37.73,41.04,43.07,44.22,44.89,45.3
7,6,Croatia Avenue,42,76,All,22.4,23.19,23.87,24.58,25.48,26.78,28.78,31.7,35.35,39.04,41.91,43.63,44.48,44.82,44.93,44.98
8,7,Lumbarda Drive,0,152,All,10.46,10.53,10.61,10.74,10.83,10.93,11.04,11.16,11.29,11.43,11.77,13.08,14.19,15.84,18.36,21.88
9,8,Tarras Road,0,86,All,10.41,10.65,10.8,11.01,11.37,12.45,13.87,15.8,18.71,22.78,28,33.52,38.16,41.39,43.46,44.77
10,8,Tarras Road,86,120,All,10.69,10.78,10.87,10.97,11.08,11.34,11.51,12.7,13.73,15.3,17.75,21.3,25.58,29.65,32.74,34.95
11,9,Kowhai Glen,0,305,All,15.17,17.11,19.17,21.26,23.42,25.86,28.85,32.48,36.36,39.73,42.08,43.43,44.13,44.44,44.56,44.61
12,1037,Epiha Road Upper,0,415,All,8.7,10.09,11.65,13.9,17.21,22.06,28.77,37,45.48,52.23,56.57,59.14,60.75,61.87,62.74,63.47
13,1038,Gossey Drive North,1319,1723,All,8.06,9.31,10.93,13.1,16.3,21.02,27.6,35.77,44.3,51.15,55.51,58.06,59.62,60.68,61.49,62.15
14,10,Upper Ahu Ahu Road,0,46,All,15.48,10.07,10.09,10.11,10.13,10.16,10.18,10.33,10.39,10.47,10.64,10.8,11.05,11.46,12.35,13.85
15,10,Upper Ahu Ahu Road,46,68,All,10.48,10.79,11.77,13.04,14.76,17.31,21.01,25.84,31.18,36,39.64,41.99,43.41,44.27,44.8,45.15
16,11,Lower Ahu Ahu Road,0,158,All,10.37,10.65,11.47,12.55,14.02,16.27,19.6,24.14,29.59,35.04,39.31,42.04,43.62,44.53,45.1,45.49
17,11,Lower Ahu Ahu Road,158,179,All,10.08,10.13,10.18,10.24,10.3,10.4,10.48,10.57,10.66,10.76,10.88,12.25,13.33,15.04,17.8,21.68
18,12,Kriletich Drive,0,263,All,17.58,19.55,21.48,23.36,25.37,27.8,31.01,35.05,39.18,42.34,44.19,45.07,45.46,45.62,45.7,45.76
19,917,Port Street East,0,21,All,19.17,21.55,23.82,25.92,27.95,30.12,32.76,36.11,40.2,44.6,48.46,51.22,52.98,54.01,54.63,55.07
20,917,Port Street East,21,396,All,14.86,15.88,17.25,19.07,21.37,24.06,26.97,29.87,32.3,34.34,36.16,38.75,41.1,44.06,47.93,52.86
21,917,Port Street East,396,874,All,16.65,18.92,21.09,23.11,25.08,27.25,29.91,33.29,37.33,41.51,44.99,47.33,48.73,49.48,49.89,50.14
22,917,Port Street East,874,1340,All,16.71,19.42,22,24.74,27.9,31.76,36.3,40.97,45.04,47.68,49.01,49.63,49.96,50.21,50.43,50.66
23,917,Port Street East,1340,1431,All,22.38,24.94,27.35,29.6,31.81,34.2,37.08,40.66,44.87,49.2,52.87,55.46,57.09,58.07,58.67,59.1
24,917,Port Street East,1431,2115,All,7.94,8.85,9.95,11.42,13.58,16.65,20.78,25.84,31.38,36.64,40.9,43.87,45.73,46.85,47.5,47.89
25,917,Port Street East,2120,2350,All,10.44,11.46,12.68,14.26,16.53,19.71,23.94,29.13,34.84,40.32,44.84,48.07,50.17,51.51,52.37,52.97
26,13,Puriri Dale Way,0,293,All,21.85,22.98,23.97,25,26.38,28.56,32.05,37.02,41.7,44.3,45.28,45.59,45.71,45.79,45.88,45.97
27,15,Fendall Close,0,438,All,5.19,6.76,8.58,11.34,15.48,21.5,29.43,38.34,45.9,50.64,53.22,54.68,55.62,56.31,56.88,57.37
28,15,Fendall Close,438,585,All,6.32,7.08,7.94,10,12.14,15.17,19.35,24.92,31.8,39.34,46.49,52.31,56.47,59.23,61.08,62.38
29,15,Fendall Close,585,643,All,4.01,4.25,4.57,4.86,5.17,5.52,5.9,6.56,7.1,7.89,9.86,12.31,15.48,19.99,26.08,33.52
30,15,Fendall Close,643,736,All,9.38,10.45,13.32,17.59,23.88,32.95,41.98,48.18,52.24,55.53,58.42,60.89,62.9,64.54,65.9,67.07
31,15,Fendall Close,736,814,All,23.38,24.1,24.98,26.22,28.13,31.11,35.69,41.65,47.49,51.57,53.79,54.77,55.23,55.5,55.74,55.99
32,9339,Weston Way,814,886,All,27.8,31.44,38.4,47.62,54.03,56.35,57.04,57.38,57.68,57.99,58.3,58.62,58.95,59.29,59.64,59.99
33,9339,Weston Way,886,939,All,9.67,10.58,11.98,14.19,17.58,23.46,33.32,44.21,51.44,55.51,58.39,60.72,62.59,64.07,65.27,66.27
34,9339,Weston Way,965,1051,All,7.34,7.78,8.29,9,9.82,12.56,17.29,27.32,37.75,43.36,46.24,49,51.97,54.96,57.68,59.97
35,9339,Weston Way,1051,1219,All,16.7,19.74,22.74,25.81,29.49,35.02,43.92,52.86,57.41,58.86,59.47,59.95,60.41,60.87,61.33,61.8
