elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,9.55,12.35,1.95,1.99,2.03,2.07,2.11,2.16,2.2,2.25,2.3,2.35,2.47,2.55,2.63,2.73,2.94,22.06,2.65,2.71,2.77
1,1,Conifer Close,0,378,All,6.51,8.16,10.07,6.16,6.36,6.57,6.78,7.01,7.24,7.48,7.73,8.05,8.33,8.63,8.94,9.6,10.03,30.46,8.5,8.8,9.1
2,2,Fladgate Drive,0,565,All,16.7,18.76,2.1,2.14,2.18,2.23,2.27,2.32,2.37,2.42,2.48,2.6,2.68,2.76,2.86,3.29,3.49,23.45,2.87,2.94,3
3,4,Highfield Drive,0,71,All,9.1,12,1.29,1.31,1.34,1.36,1.39,1.42,1.45,1.48,1.51,1.61,1.67,1.72,1.79,1.96,2.33,21.72,1.75,1.78,1.82
4,3,Matai Way,0,557,All,12.06,14.94,1.87,1.91,1.95,1.99,2.03,2.08,2.12,2.17,2.22,2.34,2.41,2.48,2.57,2.76,3.14,22.62,2.57,2.63,2.69
5,5,Vintry Drive,0,362,All,9.68,13.2,3.72,3.82,3.92,4.02,4.13,4.23,4.35,4.46,4.58,4.78,4.92,5.08,5.25,5.76,6.04,26.03,5.5,5.65,5.8
6,6,Croatia Avenue,0,42,All,1.89,2.2,3.06,4.77,6.71,1.8,1.86,1.92,1.99,2.05,2.12,2.2,2.27,2.36,2.51,2.62,2.74,2.87,3.02,3.52,22.86
7,6,Croatia Avenue,42,76,All,19.14,20.28,21.25,22.26,23.54,25.4,1.65,1.67,1.69,1.71,1.73,1.75,1.77,1.79,1.81,1.83,1.92,1.96,2,2.05,2.1
8,7,Lumbarda Drive,0,152,All,2.09,2.19,2.3,2.48,2.61,2.76,2.92,3.08,3.27,3.48,3.96,5.83,7.41,3.81,3.89,3.98,4.08,4.17,4.27,4.37,4.47
9,8,Tarras Road,0,86,All,2.02,2.35,2.58,2.87,3.38,4.93,6.96,9.72,2.74,2.86,2.98,3.11,3.25,3.39,3.55,3.71,3.88,4.13,4.34,4.56,4.8
10,8,Tarras Road,86,120,All,2.42,2.54,2.67,2.82,2.98,3.35,3.59,5.28,6.75,3.49,3.57,3.65,3.73,3.81,3.9,3.99,4.08,4.17,4.33,4.45,4.57
11,9,Kowhai Glen,0,305,All,8.82,11.58,14.52,17.51,1.24,1.25,1.27,1.28,1.3,1.31,1.33,1.41,1.44,1.48,1.52,1.58,1.88,2.04,2.26,2.58,3.27
12,1037,Epiha Road Upper,0,415,All,8.7,10.09,11.65,13.9,7.43,7.72,8.02,8.33,8.66,9.08,9.47,10.21,10.77,32.39,8.23,8.54,8.86,9.2,9.55,10,10.71
13,1038,Gossey Drive North,1319,1723,All,8.06,9.31,10.93,13.1,6.76,7.03,7.31,7.6,7.9,8.3,8.67,9.38,9.91,31.52,7.34,7.63,7.92,8.23,8.56,8.97,9.66
14,10,Upper Ahu Ahu Road,0,46,All,9.25,1.53,1.56,1.59,1.62,1.65,1.69,1.89,1.98,2.09,2.34,2.57,2.93,3.52,4.78,1.99,2.04,2.08,2.13,2.17,2.22
15,10,Upper Ahu Ahu Road,46,68,All,2.12,2.55,3.95,5.77,8.22,1.77,1.81,1.85,1.89,1.94,1.99,2.03,2.08,2.14,2.26,2.33,2.4,2.49,2.58,2.68,3.04
16,11,Lower Ahu Ahu Road,0,158,All,1.96,2.36,3.52,5.07,1.79,1.86,1.92,1.99,2.06,2.14,2.22,2.31,2.4,2.57,2.69,2.82,2.97,3.46,3.72,23.68,3.18
17,11,Lower Ahu Ahu Road,158,179,All,1.55,1.62,1.69,1.77,1.85,2,2.12,2.24,2.37,2.52,2.69,4.65,6.18,2.74,2.83,2.92,3.02,3.12,3.23,3.34,3.45
18,12,Kriletich Drive,0,263,All,12.25,15.07,17.83,2.26,2.3,2.35,2.39,2.44,2.49,2.61,2.69,2.77,3.11,3.34,3.67,4.21,5.16,6.86,2.99,3.12,3.41
19,917,Port Street East,0,21,All,16.47,19.44,22.28,24.9,27.43,30.15,6.88,7.02,7.16,7.31,7.46,7.61,7.76,7.92,8.09,8.25,8.43,8.61,8.86,9.08,9.52
20,917,Port Street East,21,396,All,11.08,12.35,14.07,16.34,19.21,22.57,26.21,29.84,32.88,35.43,37.69,40.94,43.88,25.7,26.58,27.43,28.24,29.01,29.74,30.42,31.07
21,917,Port Street East,396,874,All,13.32,16.16,3.36,3.43,3.5,3.58,3.65,3.73,3.82,3.9,3.99,4.08,4.17,4.28,4.46,4.59,4.75,5.25,24.91,4.73,4.84
22,917,Port Street East,874,1340,All,13.39,16.78,3.45,3.52,3.59,3.67,3.74,3.82,3.89,3.97,4.06,4.14,4.23,4.33,4.51,4.64,4.99,5.31,25.1,4.76,4.85
23,917,Port Street East,1340,1431,All,20.48,23.68,7.54,7.68,7.81,7.95,8.09,8.23,8.37,8.51,8.66,8.81,8.97,9.14,9.38,9.57,9.79,10.35,30.05,7.47,7.61
24,917,Port Street East,1431,2115,All,2.42,3.57,4.94,1.95,1.99,2.02,2.06,2.1,2.14,2.19,2.23,2.28,2.33,2.38,2.44,2.58,2.67,2.78,3.13,22.72,2.67
25,917,Port Street East,2120,2350,All,5.55,6.83,8.35,5.3,5.4,5.51,5.62,5.74,5.85,5.97,6.09,6.21,6.34,6.48,6.62,6.83,7.01,7.21,7.64,27.32,6.49
26,13,Puriri Dale Way,0,293,All,18.36,19.98,2.05,2.09,2.14,2.19,2.24,2.3,2.35,2.41,2.54,2.62,2.71,3.12,3.31,3.55,24.45,2.84,2.91,2.99,3.06
27,15,Fendall Close,0,438,All,5.19,6.76,8.58,4.57,4.74,4.92,5.1,5.31,5.59,5.86,6.47,25.7,5.65,4.71,4.86,5.03,5.21,5.4,5.61,5.84,6.18
28,15,Fendall Close,438,585,All,6.32,7.08,7.94,10,7.08,7.39,7.71,8.05,8.42,8.81,9.31,9.8,10.36,29.58,9.24,9.65,10.07,10.52,10.99,11.49,12.09
29,15,Fendall Close,585,643,All,4.01,4.25,4.57,4.86,5.17,5.52,5.9,6.56,7.1,7.89,9.86,12.31,6.35,6.65,6.97,7.31,7.67,8.12,8.56,9.05,9.83
30,15,Fendall Close,643,736,All,9.38,10.45,13.32,17.59,9.05,9.47,9.91,10.37,10.92,11.46,12.34,13.04,33.39,10.34,10.82,11.31,11.83,12.43,13.22,14.01,14.79
31,15,Fendall Close,736,814,All,23.38,3.78,3.88,3.97,4.08,4.26,4.41,4.88,5.17,25,4.56,4.67,4.79,4.91,5.12,5.48,5.84,6.17,28.27,5.5,5.64
32,9339,Weston Way,814,886,All,27.8,31.44,38.4,7.46,7.78,8.61,20.35,37.53,37.72,37.91,38.11,7.87,8.2,9.23,27.49,37.99,38.18,38.37,38.57,8.36,8.69
33,9339,Weston Way,886,939,All,9.67,10.58,11.98,14.19,9.36,9.64,9.93,10.3,10.64,11.23,11.78,12.53,13.78,16.3,10.04,10.41,10.92,12.95,33.02,40.49,41.37
34,9339,Weston Way,965,1051,All,7.34,7.78,8.29,9,9.82,12.56,17.29,5.65,4.71,4.86,5.03,5.21,5.4,5.61,5.84,6.18,6.53,22.47,6.3,6.51,6.73
